region_start;region_end;label;instrument
0.0;0.371519274;silence;
0.371519274;11.284897958000002;intro;p,b,dr
11.331337868;67.059229024;theme_01_01;tp,as,p,b,dr
67.05922902399999;126.78095238;solo_01_01;s_as,b_p,b_b,b_dr
126.78095238;186.688435373;solo_01_02;s_as,b_p,b_b,b_dr
186.68843537400002;247.15319727800002;solo_02_01;s_tp,b_p,b_b,b_dr
247.153197278;309.289795917;solo_02_02;s_tp,b_p,b_b,b_dr
309.289795918;369.661678004;solo_03_01;s_p,b_b,b_dr
369.661678004;427.990204081;solo_03_02;s_p,b_b,b_dr
427.990204081;482.232018139;solo_04_01;s_dr
482.23201814;517.247709749;theme_02_01;tp,as,p,b,dr
517.24770975;552.820680271;outro;tp,p,b,dr
552.820680271;555.52;silence;
