region_start;region_end;label;instrument
0.0;0.653061224;silence;
0.653061224;16.718367346;intro;p,b,dr
16.718367345999997;79.151020407;theme_01_01;as,p,b,dr
79.15102040800001;142.889795918;theme_01_02;as,p,b,dr
142.889795918;205.191836734;solo_01_01;s_as,b_p,b_b,b_dr
205.19183673400002;270.367346938;solo_01_02;s_as,b_p,b_b,b_dr
270.36734693799997;333.714285713;solo_02_01;s_p,b_b,b_dr
333.714285714;402.67755102;solo_03_01;s_as,b_p,b_b,b_dr
402.67755102;470.59591836600003;solo_03_02;s_as,b_p,b_b,b_dr
470.59591836699997;533.028571428;solo_03_03;s_as,b_p,b_b,b_dr
533.0285714280001;595.7224489790001;solo_03_04;s_as,b_p,b_b,b_dr
595.722448979;628.5061224479999;outro;as,p,b,dr
628.5061224479999;632.1733333333333;silence;
