region_start;region_end;label;instrument
0.0;0.326530612;silence;
0.326530612;12.571428571000002;intro;p
12.571428570999998;39.21632653;theme_01_01;as,p,b,dr
39.21632653;65.763265305;solo_01_01;s_as,b_p,b_b,b_dr
65.76326530600001;92.767346938;solo_01_02;s_as,b_p,b_b,b_dr
92.76734693799999;119.47755101899999;solo_01_03;s_as,b_p,b_b,b_dr
119.47755102;146.742857142;solo_02_01;s_tb,b_p,b_b,b_dr
146.74285714200002;174.07346938600003;solo_02_02;s_tb,b_p,b_b,b_dr
174.07346938700002;202.12244897800002;theme_02_01;tp,as,tb,p,b,dr
202.12244897800002;205.42666666666668;silence;
