region_start;region_end;label;instrument
0.0;0.587755102;silence;
0.587755102;133.551020408;intro;fl,p,b,dr
133.551020408;160.457142856;theme_01_01;ss,p,b,dr
160.457142857;186.90612244800002;theme_01_02;ss,p,b,dr
186.906122448;214.204081631;theme_01_03;ss,p,b,dr
214.204081632;241.306122448;solo_01_01;s_ss,b_p,b_b,b_dr
241.306122448;267.853061223;solo_01_02;s_ss,b_p,b_b,b_dr
267.853061224;294.073469387;solo_01_03;s_ss,b_p,b_b,b_dr
294.073469387;320.457142856;solo_01_04;s_ss,b_p,b_b,b_dr
320.457142857;346.93877551;solo_01_05;s_ss,b_p,b_b,b_dr
346.93877551;373.25714285600003;solo_01_06;s_ss,b_p,b_b,b_dr
373.25714285699996;419.19999999899994;theme_02_01;ss,p,b,dr
419.19999999899994;425.9066666666667;silence;
