region_start;region_end;label;instrument
0.0;1.160997732;silence;
1.160997732;38.26648526;theme_01_01;tp,p,b,dr
38.289705215;75.604172335;solo_01_01;s_tp,b_p,b_b,b_dr
75.650612244;110.87528344500001;solo_01_02;s_tp,b_p,b_b,b_dr
110.921723356;146.796553287;solo_02_01;s_p,b_b,b_dr
146.842993197;181.62648526;solo_02_02;s_p,b_b,b_dr
181.649705215;215.73659863900002;solo_03_01;s_b,b_dr
215.78303854799998;250.682630384;solo_04_01;s_tp,b_p,b_b,b_dr
250.70585034;291.68907029400003;theme_02_01;tp,p,b,dr
291.68907029400003;294.1333333333333;silence;
