region_start;region_end;label;instrument
0.0;0.65015873;silence;
0.65015873;32.507936507;theme_01_01;ts,bs,p,b,dr
32.507936507;64.992653061;solo_01_01;s_ts,s_bs,b_p,b_b,b_dr
64.992653061;96.014512471;solo_02_01;s_bs,b_p,b_b,b_dr
96.014512471;126.502312925;solo_02_02;s_bs,b_p,b_b,b_dr
126.502312925;156.757913832;solo_03_01;s_ts,s_bs,b_p,b_b,b_dr
156.757913832;186.804535147;solo_04_01;s_bs,b_p,b_b,b_dr
186.804535147;216.99047619;solo_05_01;s_ts,b_p,b_b,b_dr
216.99047619;246.45659863900002;solo_05_02;s_ts,b_p,b_b,b_dr
246.45659863900002;275.34222222200003;solo_05_03;s_ts,b_p,b_b,b_dr
275.34222222200003;305.017324263;solo_05_04;s_ts,b_p,b_b,b_dr
305.017324263;334.251247165;solo_06_01;s_p,b_b,b_dr
334.251247165;363.740589569;solo_06_02;s_p,b_b,b_dr
363.740589569;392.90485260699995;solo_07_01;s_ts,s_bs,b_p,b_b,b_dr
392.90485260699995;422.34775510199995;solo_07_02;s_ts,s_bs,b_p,b_b,b_dr
422.34775510199995;451.140498866;theme_02_01;ts,bs,p,b,dr
451.140498866;488.52462584999995;theme_02_01;ts,bs,p,b,dr
488.52462584999995;493.62666666666667;silence;
