region_start;region_end;label;instrument
0.0;0.06530612200000001;silence;
0.06530612200000001;24.685714285;theme_01_01;as,b
24.685714285;51.134693876;theme_01_02;as,p,b,dr
51.134693877;77.583673468;solo_01_01;s_as,b_p,b_b,b_dr
77.58367346899999;105.861224489;solo_01_02;s_as,b_p,b_b,b_dr
105.861224489;134.008163264;solo_01_03;s_as,b_p,b_b,b_dr
134.008163265;162.742857142;solo_01_04;s_as,b_p,b_b,b_dr
162.74285714200002;191.41224489700002;solo_02_01;s_b,b_p,b_dr
191.412244897;222.497959182;theme_02_01;as,p,b,dr
222.497959182;225.18666666666667;silence;
