region_start;region_end;label;instrument
0.0;0.371519274;silence;
0.371519274;117.77160997600001;intro;dr
117.77160997700001;149.90802721;theme_01_01;tp,p,b,dr
149.90802721;180.92988662;solo_01_01;s_tp,b_p,b_b,b_dr
181.115646258;213.99510204;solo_01_02;s_tp,b_p,b_b,b_dr
214.366621315;249.84671201700002;solo_01_03;s_tp,b_p,b_b,b_dr
250.032471655;282.354648525;solo_02_01;s_ts,b_p,b_b,b_dr
282.354648526;320.063854875;solo_02_02;s_ts,b_p,b_b,b_dr
319.6923356;353.686349205;solo_02_03;s_ts,b_p,b_b,b_dr
353.87210884300003;389.16643990800003;solo_03_01;s_p,b_b,b_dr
389.166439909;425.38956916;solo_03_02;s_p,b_b,b_dr
425.38956916;464.399092969;theme_02_01;tp,p,b
464.399092969;471.40571428571434;silence;
