region_start;region_end;label;instrument
0.0;0.457142857;silence;
0.457142857;38.008163265;theme_01_01;tp,ts,p,b,dr
38.080725623;73.28217687;solo_01_01;s_tp,b_b,b_dr
73.28217687;111.177142856;solo_01_02;s_tp,b_b,b_dr
111.362902494;151.02258503299998;solo_01_03;s_tp,b_b,b_dr
151.022585034;191.05378684800002;solo_01_04;s_tp,b_b,b_dr
191.146666666;225.23356009;solo_02_01;s_ts,b_b,b_dr
225.23356009;264.057324262;solo_02_02;s_ts,b_b,b_dr
263.871564625;297.958458049;solo_02_03;s_ts,b_b,b_dr
297.958458049;332.788390021;solo_02_04;s_ts,b_b,b_dr
332.695510204;370.68335600800003;solo_03_01;s_p,b_b,b_dr
370.683356009;405.977687074;solo_03_02;s_p,b_b,b_dr
405.977687074;442.57233560000003;solo_03_03;s_p,b_b,b_dr
442.5723356;480.281541949;solo_03_04;s_p,b_b,b_dr
480.261224489;531.199999999;theme_02_01;tp,ts,p,b,dr
531.199999999;537.9333333333333;silence;
