region_start;region_end;label;instrument
0.0;0.41795918299999996;silence;
0.41795918299999996;9.84526077;intro;g
9.84526077;61.904399092;theme_01_01;as,g,b,dr
61.904399092;115.217414965;solo_01_01;s_as,b_g,b_b,b_dr
115.217414965;169.180589569;solo_01_02;s_as,b_g,b_b,b_dr
169.180589569;220.68244897900001;solo_01_03;s_as,b_g,b_b,b_dr
220.68244897900001;273.39174603099997;solo_02_01;s_g,b_b,b_dr
273.39174603099997;328.005079365;solo_02_02;s_g,b_b,b_dr
328.005079365;407.510204081;theme_02_01;as,g,b,dr
407.510204081;412.94367346938776;silence;
